Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-nacos\src\main\java\io\seata\config\nacos,2,181,115,81,10,21,0,45,235,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-zk,2,215,155,110,19,22,0,38,212,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-zk\src,2,215,155,110,19,22,0,38,212,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-zk\src\main,2,215,155,110,19,22,0,38,212,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-zk\src\main\java,2,215,155,110,19,22,0,38,212,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-zk\src\main\java\io,2,215,155,110,19,22,0,38,212,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-zk\src\main\java\io\seata,2,215,155,110,19,22,0,38,212,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-zk\src\main\java\io\seata\config,2,215,155,110,19,22,0,38,212,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\config\seata-config-zk\src\main\java\io\seata\config\zk,2,215,155,110,19,22,0,38,212,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core,126,14336,6990,5100,833,1715,2,5631,22888,1877,12252
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src,126,14336,6990,5100,833,1715,2,5631,22888,1877,12252
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main,100,12259,5885,4230,826,1429,2,4945,19617,1500,9800
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java,100,12259,5885,4230,826,1429,2,4945,19617,1500,9800
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io,100,12259,5885,4230,826,1429,2,4945,19617,1500,9800
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata,100,12259,5885,4230,826,1429,2,4945,19617,1500,9800
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core,100,12259,5885,4230,826,1429,2,4945,19617,1500,9800
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\constants,1,97,18,17,0,14,0,65,200,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\context,4,280,97,67,15,43,0,140,589,60,392
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\exception,3,339,91,56,5,48,0,200,711,45,294
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\model,8,688,141,86,14,97,0,450,1957,120,784
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol,47,4400,1979,1470,299,552,2,1869,7578,705,4606
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\transaction,28,2342,1034,766,139,319,0,989,4199,420,2744
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc,36,6403,3546,2526,490,669,0,2188,8442,540,3528
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\netty,24,4894,2797,2001,352,503,0,1594,5987,360,2352
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\store,1,52,13,8,3,6,0,33,140,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\test,26,2077,1105,870,7,286,0,686,3271,377,2452
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\test\java,26,2077,1105,870,7,286,0,686,3271,377,2452
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\test\java\io,26,2077,1105,870,7,286,0,686,3271,377,2452
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\test\java\io\seata,26,2077,1105,870,7,286,0,686,3271,377,2452
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\test\java\io\seata\core,26,2077,1105,870,7,286,0,686,3271,377,2452
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\test\java\io\seata\core\context,2,182,92,73,0,21,0,69,288,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\test\java\io\seata\core\message,10,731,354,291,0,106,0,271,1282,150,980
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\test\java\io\seata\core\model,3,174,84,55,0,30,0,60,339,45,294
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\test\java\io\seata\core\protocol,8,741,439,350,4,93,0,209,1035,122,786
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\test\java\io\seata\core\protocol\transaction,3,212,121,97,0,30,0,61,329,47,296
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\test\java\io\seata\core\rpc,3,249,136,101,3,36,0,77,327,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\test\java\io\seata\core\rpc\netty,3,249,136,101,3,36,0,77,327,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\coverage_metric,0,0,0,0,0,0,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery,26,2610,1509,1102,193,291,1,810,3611,390,2548
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-consul,4,471,256,188,23,54,0,161,616,60,392
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-consul\src,4,471,256,188,23,54,0,161,616,60,392
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-consul\src\main,3,404,220,161,23,42,0,142,510,45,294
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-consul\src\main\java,3,404,220,161,23,42,0,142,510,45,294
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-consul\src\main\java\io,3,404,220,161,23,42,0,142,510,45,294
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-consul\src\main\java\io\seata,3,404,220,161,23,42,0,142,510,45,294
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-consul\src\main\java\io\seata\discovery,3,404,220,161,23,42,0,142,510,45,294
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-consul\src\main\java\io\seata\discovery\registry,3,404,220,161,23,42,0,142,510,45,294
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-consul\src\main\java\io\seata\discovery\registry\consul,3,404,220,161,23,42,0,142,510,45,294
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-consul\src\test,1,67,36,27,0,12,0,19,106,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-consul\src\test\java,1,67,36,27,0,12,0,19,106,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-consul\src\test\java\io,1,67,36,27,0,12,0,19,106,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-consul\src\test\java\io\seata,1,67,36,27,0,12,0,19,106,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-consul\src\test\java\io\seata\discovery,1,67,36,27,0,12,0,19,106,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-consul\src\test\java\io\seata\discovery\registry,1,67,36,27,0,12,0,19,106,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-consul\src\test\java\io\seata\discovery\registry\consul,1,67,36,27,0,12,0,19,106,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-core,12,823,319,237,37,98,1,406,1794,180,1176
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-core\src,12,823,319,237,37,98,1,406,1794,180,1176
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-core\src\main,10,591,200,142,30,77,0,314,1403,150,980
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-core\src\main\java,10,591,200,142,30,77,0,314,1403,150,980
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-core\src\main\java\io,10,591,200,142,30,77,0,314,1403,150,980
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-core\src\main\java\io\seata,10,591,200,142,30,77,0,314,1403,150,980
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-core\src\main\java\io\seata\discovery,10,591,200,142,30,77,0,314,1403,150,980
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-core\src\main\java\io\seata\discovery\loadbalance,5,222,64,45,11,33,0,125,632,75,490
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-core\src\main\java\io\seata\discovery\registry,5,369,136,97,19,44,0,189,771,75,490
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-core\src\test,2,232,119,95,7,21,1,92,391,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-core\src\test\java,2,232,119,95,7,21,1,92,391,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-core\src\test\java\io,2,232,119,95,7,21,1,92,391,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-core\src\test\java\io\seata,2,232,119,95,7,21,1,92,391,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-core\src\test\java\io\seata\discovery,2,232,119,95,7,21,1,92,391,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-core\src\test\java\io\seata\discovery\loadbalance,2,232,119,95,7,21,1,92,391,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-eureka,3,375,269,198,40,45,0,61,337,45,294
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-eureka\src,3,375,269,198,40,45,0,61,337,45,294
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-eureka\src\main,3,375,269,198,40,45,0,61,337,45,294
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-eureka\src\main\java,3,375,269,198,40,45,0,61,337,45,294
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-eureka\src\main\java\io,3,375,269,198,40,45,0,61,337,45,294
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-eureka\src\main\java\io\seata,3,375,269,198,40,45,0,61,337,45,294
