Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\data\time,30,12411,4972,3423,951,1046,26,6393,33112,1590,10262
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\data\time\ohlc,4,957,334,225,73,79,1,544,2422,163,956
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\data\xml,9,1310,457,301,35,143,0,710,3436,353,2059
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\main\java\org\jfree\data\xy,51,12969,4335,2950,946,1013,11,7621,38188,2247,13573
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\test,350,73436,39944,32292,185,8355,155,25137,124315,14279,84050
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\test\java,350,73436,39944,32292,185,8355,155,25137,124315,14279,84050
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\test\java\org,350,73436,39944,32292,185,8355,155,25137,124315,14279,84050
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\test\java\org\jfree,350,73436,39944,32292,185,8355,155,25137,124315,14279,84050
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\test\java\org\jfree\chart,243,46878,24949,20064,110,5432,80,16497,82218,9888,58114
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\test\java\org\jfree\chart\annotations,13,2308,1151,875,6,253,2,904,4401,536,3150
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\test\java\org\jfree\chart\axis,30,6046,3252,2699,3,754,2,2040,10427,1217,7217
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\test\java\org\jfree\chart\block,12,2361,1280,1068,1,272,0,809,3932,472,2755
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\test\java\org\jfree\chart\entity,7,849,384,296,0,106,0,359,1894,274,1598
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\test\java\org\jfree\chart\imagemap,5,345,86,53,0,31,0,228,1234,195,1135
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\test\java\org\jfree\chart\labels,20,2945,1402,997,0,342,0,1201,6001,819,4789
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\test\java\org\jfree\chart\needle,10,894,293,227,0,97,0,504,2651,390,2270
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\test\java\org\jfree\chart\panel,1,104,41,32,0,12,0,51,269,39,227
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\test\java\org\jfree\chart\plot,40,10772,6342,5331,19,1294,5,3136,14909,1636,9649
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\test\java\org\jfree\chart\plot\dial,12,2054,1021,856,0,252,0,781,3802,474,2768
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\test\java\org\jfree\chart\renderer,58,12030,6599,5351,53,1345,49,4086,20806,2429,14321
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\test\java\org\jfree\chart\renderer\category,21,4377,2383,1817,43,480,28,1514,7788,876,5148
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\test\java\org\jfree\chart\renderer\xy,29,5616,3029,2542,5,618,16,1969,10050,1227,7252
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\test\java\org\jfree\chart\title,9,1391,629,523,0,167,0,595,2850,359,2108
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\test\java\org\jfree\chart\urls,7,942,430,344,0,107,0,405,2113,285,1676
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\test\java\org\jfree\chart\util,4,534,261,226,5,63,0,210,1117,160,947
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\test\java\org\jfree\data,107,26558,14995,12228,75,2923,75,8640,42097,4391,25936
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\test\java\org\jfree\data\category,4,1359,866,678,0,132,7,361,1682,163,961
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\test\java\org\jfree\data\function,4,462,182,137,0,52,0,228,1185,156,908
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\test\java\org\jfree\data\gantt,5,1237,738,614,5,134,5,365,1778,198,1152
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\test\java\org\jfree\data\general,9,2755,1555,1275,50,278,1,922,4236,365,2150
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\test\java\org\jfree\data\statistics,13,2740,1541,1200,6,306,1,893,4468,522,3066
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\test\java\org\jfree\data\time,25,7717,4423,3505,4,859,28,2435,11790,1073,6432
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\test\java\org\jfree\data\time\ohlc,4,781,411,341,0,83,3,287,1399,163,958
C:\Users\SHUBHAM\Desktop\Projects\jfreechart-master\src\test\java\org\jfree\data\xy,34,7033,3803,3282,9,795,23,2435,12026,1383,8135
