Language, == files, != files, + files, - files, == blank, != blank, + blank, - blank, == comment, != comment, + comment, - comment, == code, != code, + code, - code, "github.com/AlDanial/cloc v 1.80 T=2 s"
XML, 0, 0, 7, 7, 0, 0, 37, 37, 0, 0, 126, 126, 0, 0, 348, 348, 
Maven, 0, 0, 15, 27, 0, 0, 54, 73, 0, 0, 231, 411, 0, 0, 1077, 1433, 
Markdown, 0, 0, 8, 8, 0, 0, 168, 168, 0, 0, 0, 0, 0, 0, 242, 242, 
Bourne Shell, 0, 0, 2, 2, 0, 0, 17, 17, 0, 0, 1, 1, 0, 0, 30, 30, 
SQL, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 12, 12, 
YAML, 0, 0, 1, 1, 0, 0, 5, 5, 0, 0, 0, 0, 0, 0, 13, 13, 
Java, 0, 99, 284, 292, 0, 0, 4549, 4521, 4834, 16, 12306, 12422, 5347, 367, 18558, 18779, 
