Language, == files, != files, + files, - files, == blank, != blank, + blank, - blank, == comment, != comment, + comment, - comment, == code, != code, + code, - code, "github.com/AlDanial/cloc v 1.80 T=2 s"
Bourne Shell, 2, 0, 0, 0, 17, 0, 0, 0, 1, 0, 0, 0, 30, 0, 0, 0, 
Markdown, 7, 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 194, 0, 0, 0, 
XML, 7, 0, 0, 0, 37, 0, 0, 0, 126, 0, 0, 0, 348, 0, 0, 0, 
YAML, 1, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 
Maven, 0, 13, 0, 0, 0, 0, 0, 0, 201, 0, 0, 1, 892, 13, 10, 44, 
Java, 106, 184, 1, 29, 1104, 0, 20, 434, 12332, 230, 255, 1811, 18271, 441, 113, 1986, 
