Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\slim\test\statementexecutorconsumer,2,114,84,65,15,18,0,12,76,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\socketservice,9,505,391,311,47,91,0,23,135,4,44
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\testrunner,18,1643,1303,934,239,313,0,27,249,13,118
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\testsystems,83,8034,6299,4476,991,1431,12,304,2019,50,550
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\testsystems\example,1,71,50,31,3,13,0,8,38,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\testsystems\fit,8,714,567,417,34,127,4,20,191,6,66
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\testsystems\slim,50,6107,4861,3461,824,1053,7,193,1292,34,374
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\testsystems\slim\results,2,309,250,168,62,57,0,2,6,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\testsystems\slim\tables,26,3520,2804,1987,510,604,4,112,765,16,176
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\testutil,21,471,320,229,27,106,0,45,462,39,432
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\updates,4,320,257,190,39,54,0,9,89,8,88
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\util,11,878,649,461,124,163,0,66,458,10,110
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\wiki,74,5629,4333,3035,800,1067,6,229,1569,50,550
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\wiki\fs,22,2489,1958,1384,318,438,4,93,591,8,88
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\wiki\refactoring,5,179,136,102,10,37,0,6,66,6,66
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\wiki\search,9,391,288,200,61,103,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\wikitext,69,4433,3623,2659,688,741,10,69,371,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\wikitext\parser,69,4433,3623,2659,688,741,10,69,371,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\util,4,723,590,421,92,119,1,14,136,10,100
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test,396,45692,36993,26257,829,7919,81,780,6088,381,3988
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\eg,2,344,309,182,2,33,6,2,34,2,24
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\eg\bowling,2,344,309,182,2,33,6,2,34,2,24
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\eg\bowling\fixtures,1,89,85,10,0,4,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fit,27,3310,2722,1905,74,518,5,70,710,48,505
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fit\decorator,11,1105,937,603,16,162,0,6,47,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fit\decorator\performance,2,210,178,96,4,28,0,4,25,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fit\decorator\util,5,437,369,265,2,66,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fit\testFxtr,2,78,53,35,2,23,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse,358,41031,33147,23550,737,7196,70,688,5140,314,3273
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesseMain,2,257,207,163,3,44,0,6,52,4,44
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\authentication,8,671,550,437,8,107,0,14,154,14,154
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\components,4,292,234,165,2,53,0,5,51,4,44
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\fixtures,4,229,181,131,1,44,0,4,44,4,44
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\html,5,552,457,328,1,89,0,6,66,6,66
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\html\template,3,273,229,181,0,42,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\http,9,1274,1064,789,10,194,0,16,176,16,176
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\junit,15,922,721,488,13,198,0,3,12,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\logging,1,61,43,32,0,18,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\plugins,7,908,747,555,69,151,0,10,75,4,44
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\plugins\slimcoverage,5,458,387,283,58,64,0,7,46,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\reporting,11,1441,1181,960,25,258,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\reporting\history,6,937,796,655,20,141,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\responders,66,10254,8364,6614,153,1747,25,143,1440,92,1012
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\responders\editing,11,1792,1445,1212,11,327,7,20,238,14,154
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\responders\files,8,791,639,512,1,133,0,19,202,16,176
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\responders\refactoring,5,644,530,423,13,106,1,8,99,8,88
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\responders\run,6,2071,1706,1263,59,332,1,33,280,10,110
