File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\decorator\CopyAndAppendLastRow.java,33,26,18,1,6,0,1,3,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\decorator\FixtureDecorator.java,86,73,58,6,13,1,0,1,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\decorator\IncrementColumnsValue.java,43,34,25,1,7,0,2,5,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\decorator\Loop.java,32,25,16,2,6,0,1,3,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\decorator\TestFixture.java,19,14,10,0,5,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\decorator\exceptions\InvalidInputException.java,10,7,5,0,3,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\decorator\performance\MaxTime.java,40,32,22,1,8,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\decorator\performance\TimeBasedFixtureDecorator.java,46,36,28,2,10,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\decorator\performance\TimeRange.java,45,37,27,1,8,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\decorator\util\ClassDelegatePointParser.java,30,21,16,3,6,0,3,25,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\decorator\util\DataType.java,167,136,97,20,30,0,1,5,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\decorator\util\DefaultTimer.java,16,12,7,1,4,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\decorator\util\Delta.java,42,34,22,10,8,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\decorator\util\PointDataType.java,21,17,11,3,4,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\decorator\util\Table.java,179,150,111,29,29,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\decorator\util\Timer.java,8,5,4,0,3,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\exception\ClassIsNotFixtureException.java,15,7,5,0,2,0,6,56,6,56
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\exception\CouldNotLoadComponentFitFailureException.java,13,7,5,0,3,0,3,32,3,32
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\exception\CouldNotParseFitFailureException.java,13,7,5,0,3,0,3,32,3,32
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\exception\FitFailureException.java,25,7,5,0,4,0,14,94,10,65
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\exception\FitMatcherException.java,13,7,5,0,3,0,3,32,3,32
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\exception\FitParseException.java,15,8,6,0,4,0,3,32,3,32
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\exception\FixtureException.java,24,14,11,1,7,0,3,32,3,32
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\exception\NoDefaultConstructorFixtureException.java,12,7,5,0,2,0,3,32,3,32
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\exception\NoSuchFieldFitFailureException.java,13,7,5,0,3,0,3,32,3,32
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\exception\NoSuchFixtureException.java,17,7,5,0,4,0,6,56,6,56
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\exception\NoSuchMethodFitFailureException.java,13,7,5,0,3,0,3,32,3,32
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\testFxtr\NoDefaultConstructorFixture.java,12,6,4,0,4,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fit\testFxtr\WouldBeFixture.java,16,6,4,1,2,0,8,41,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\ConfigurationParameter.java,106,88,49,11,15,0,3,8,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\ContextConfigurator.java,294,236,168,47,46,0,12,96,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\FitNesse.java,103,84,64,6,14,0,5,33,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\FitNesseContext.java,125,103,84,10,20,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\FitNesseExpediter.java,171,145,110,13,20,1,6,70,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\FitNesseServer.java,30,21,16,0,7,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\FitNesseVersion.java,78,56,43,8,10,0,12,87,2,24
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\Responder.java,11,6,5,0,3,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\Shutdown.java,89,70,52,15,16,0,3,22,3,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\Updater.java,8,5,4,0,3,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\authentication\AlwaysSecureOperation.java,14,9,6,1,3,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\authentication\Authenticator.java,49,37,24,10,10,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\authentication\HashingCipher.java,66,52,36,12,12,1,2,26,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\authentication\InsecureOperation.java,12,9,6,1,3,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\authentication\MultiUserAuthenticator.java,40,29,21,7,9,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\authentication\NegotiateAuthenticator.java,188,118,84,14,27,4,43,228,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\authentication\OneUserAuthenticator.java,27,19,13,3,6,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\authentication\Password.java,114,92,70,15,20,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\authentication\PasswordCipher.java,8,4,3,0,2,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\authentication\PasswordFile.java,97,79,60,11,16,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\authentication\PromiscuousAuthenticator.java,11,7,4,1,2,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\authentication\SecureOperation.java,11,6,5,0,3,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\authentication\SecurePageOperation.java,37,29,21,5,6,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\authentication\SecureReadOperation.java,14,8,5,1,4,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\authentication\SecureResponder.java,10,5,4,0,3,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\authentication\SecureTestOperation.java,13,8,5,1,3,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\authentication\SecureWriteOperation.java,13,8,5,1,3,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\authentication\TransparentCipher.java,11,7,4,1,2,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\authentication\UnauthorizedResponder.java,39,28,23,1,9,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\components\ComponentFactory.java,117,82,62,15,20,0,15,73,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\components\ComponentInstantiationException.java,10,6,4,0,4,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\components\ContentBuffer.java,98,77,58,10,18,0,3,23,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\components\LogData.java,24,18,16,0,4,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\components\Logger.java,104,80,59,14,18,0,6,52,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\components\PluginsClassLoaderFactory.java,70,54,42,10,13,0,3,18,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\components\TraversalListener.java,10,4,3,0,4,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\components\Traverser.java,8,4,3,0,4,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\ActionFixtureTestFixture.java,27,17,10,1,8,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\AddTestSystem.java,13,9,7,0,4,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\AuthenticatorSetup.java,26,18,13,1,6,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\ClasspathPrintingFixture.java,14,9,6,0,3,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\ClockFixture.java,19,14,11,1,5,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\ColumnFixtureTestFixture.java,24,15,11,2,7,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\ComplexAddFixture.java,15,9,8,1,4,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\CountFixture.java,24,14,10,1,8,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\DelayedCountFixture.java,23,15,11,1,6,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\DuplicateRows.java,69,63,15,2,6,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\EchoFixture.java,35,23,16,5,10,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\EmployeePayRecord.java,18,12,9,1,4,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\EmployeePayRecordsRowFixture.java,21,15,10,2,4,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\FileSection.java,29,20,16,2,7,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\FileSectionDirectoryListing.java,26,20,16,3,4,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\FileSectionFileAdder.java,31,23,18,2,6,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\FitnesseFixtureContext.java,18,13,12,0,3,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\FitNesseStatus.java,12,7,5,1,3,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\HashFixture.java,24,16,12,2,7,0,1,4,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\JavaProperties.java,18,11,8,2,5,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\LoopingActionFixture.java,62,48,36,4,12,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\NullAndBlankFixture.java,27,18,13,4,7,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\PageBuilder.java,65,54,42,6,9,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\PageCreator.java,59,48,37,6,9,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\PageDriver.java,286,241,187,40,43,1,2,23,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\PageHistory.java,63,49,38,3,14,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\PagesRunInSuite.java,63,52,39,9,11,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\Pass.java,8,6,4,1,2,0,0,0,0,0
