Language, == files, != files, + files, - files, == blank, != blank, + blank, - blank, == comment, != comment, + comment, - comment, == code, != code, + code, - code, "github.com/AlDanial/cloc v 1.80 T=17 s"
Markdown, 0, 1, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1042, 116, 19, 30, 
JavaScript, 4, 0, 0, 0, 33, 0, 0, 0, 45, 0, 0, 0, 190, 0, 0, 0, 
Bourne Shell, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 
Maven, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 16, 0, 173, 2, 36, 41, 
HTML, 42, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 322, 1, 19, 1, 
Ant, 0, 0, 1, 0, 0, 0, 49, 0, 0, 0, 43, 0, 0, 0, 193, 0, 
Java, 904, 83, 6, 0, 22752, 0, 457, 17, 133034, 82, 2026, 196, 131895, 311, 2259, 246, 
