Language, == files, != files, + files, - files, == blank, != blank, + blank, - blank, == comment, != comment, + comment, - comment, == code, != code, + code, - code, "github.com/AlDanial/cloc v 1.80 T=26 s"
Maven, 0, 1, 0, 0, 0, 0, 0, 4, 5, 0, 0, 0, 157, 7, 37, 87, 
Ant, 0, 1, 0, 0, 0, 0, 0, 5, 52, 0, 0, 5, 258, 11, 1, 15, 
CSS, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 
HTML, 42, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 286, 2, 0, 2, 
XML, 4, 1, 0, 1, 66, 0, 0, 71, 101, 0, 0, 58, 156, 5, 0, 289, 
Java, 826, 164, 0, 27, 17637, 0, 136, 647, 140260, 971, 135, 3620, 138955, 830, 786, 4557, 
