Language, == files, != files, + files, - files, == blank, != blank, + blank, - blank, == comment, != comment, + comment, - comment, == code, != code, + code, - code, "github.com/AlDanial/cloc v 1.80 T=31 s"
Maven, 0, 1, 0, 0, 0, 0, 0, 1, 5, 0, 0, 0, 186, 8, 6, 7, 
Ant, 0, 1, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 245, 18, 1, 7, 
XML, 4, 1, 0, 0, 66, 0, 0, 0, 101, 0, 0, 0, 154, 7, 0, 0, 
HTML, 38, 0, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 246, 0, 42, 42, 
Java, 191, 429, 390, 370, 2475, 0, 10319, 8412, 113725, 113, 31608, 27528, 94718, 940, 50519, 44913, 
