Language, == files, != files, + files, - files, == blank, != blank, + blank, - blank, == comment, != comment, + comment, - comment, == code, != code, + code, - code, "github.com/AlDanial/cloc v 1.80 T=1 s"
XHTML, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 
HTML, 13, 0, 0, 0, 1057, 0, 0, 0, 487, 0, 0, 0, 6796, 0, 0, 0, 
Maven, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 205, 6, 0, 0, 
Java, 65, 19, 0, 0, 1441, 0, 2, 10, 3855, 6, 1, 8, 15435, 48, 106, 153, 
YAML, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 
XML, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 
