Language, == files, != files, + files, - files, == blank, != blank, + blank, - blank, == comment, != comment, + comment, - comment, == code, != code, + code, - code, "github.com/AlDanial/cloc v 1.80 T=2 s"
XHTML, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 
Maven, 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 248, 2, 0, 3, 
YAML, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 
Markdown, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 1, 0, 0, 
XML, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 
Java, 82, 27, 0, 3, 1934, 0, 1, 92, 4494, 3, 3, 37, 19257, 60, 10, 375, 
HTML, 15, 0, 0, 2, 1057, 0, 0, 2, 487, 0, 0, 4, 6839, 0, 0, 20, 
