Language, == files, != files, + files, - files, == blank, != blank, + blank, - blank, == comment, != comment, + comment, - comment, == code, != code, + code, - code, "github.com/AlDanial/cloc v 1.80 T=2 s"
Maven, 0, 1, 0, 0, 0, 0, 0, 2, 3, 1, 0, 2, 220, 7, 0, 17, 
XHTML, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 
YAML, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 1, 
Markdown, 1, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 
HTML, 13, 0, 0, 2, 1057, 0, 0, 0, 487, 0, 0, 0, 6796, 0, 0, 43, 
XML, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 
Java, 30, 59, 1, 16, 451, 0, 44, 346, 4028, 67, 56, 373, 16027, 671, 487, 2084, 
