Language, == files, != files, + files, - files, == blank, != blank, + blank, - blank, == comment, != comment, + comment, - comment, == code, != code, + code, - code, "github.com/AlDanial/cloc v 1.80 T=2 s"
Maven, 0, 1, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 222, 5, 0, 0, 
XHTML, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 
YAML, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 
XML, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 
HTML, 13, 0, 0, 0, 1057, 0, 0, 0, 487, 0, 0, 0, 6796, 0, 0, 0, 
Java, 51, 36, 0, 0, 975, 0, 0, 83, 3915, 37, 0, 142, 16141, 121, 22, 469, 
