Language, == files, != files, + files, - files, == blank, != blank, + blank, - blank, == comment, != comment, + comment, - comment, == code, != code, + code, - code, "github.com/AlDanial/cloc v 1.80 T=1 s"
Maven, 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 242, 2, 0, 6, 
YAML, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 
XML, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 
HTML, 15, 0, 0, 0, 1057, 0, 0, 0, 487, 0, 0, 0, 6839, 0, 0, 0, 
Markdown, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 1, 0, 5, 
XHTML, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 21, 1, 0, 6, 
Java, 81, 24, 0, 4, 1794, 0, 2, 114, 4460, 3, 5, 37, 18742, 26, 14, 559, 
